millis,type,message
2318710,INFO,Completed analysis m: 0 t: 0 e: 40
2318737,INFO,Enabling IridiumMessageSender transmissions
2368387,INFO,Starting analysis m: 0 t: 0 e: 41
2368667,WARN,Disabling IridiumMessageSender transmissions
2370035,INFO,Completed analysis m: 0 t: 0 e: 41
2370058,INFO,Enabling IridiumMessageSender transmissions
2400045,INFO,powerData | solV: 5.75
2400067,INFO,powerData | solI: 0.20
2400086,INFO,powerData | battV: 4.16
2400106,INFO,powerData | battI: 0.17
2400126,INFO,powerData | busV: 4.16
2400149,INFO,powerData | busI: 0.06
2400169,INFO,powerData | BQ status reg: 172
2400188,INFO,powerData | Fault reg: 0
2400208,INFO,powerData | Charge status: 2
2400227,INFO,powerData | DPM status: 1
2419603,INFO,Starting analysis m: 0 t: 0 e: 42
2419881,WARN,Disabling IridiumMessageSender transmissions
2421129,INFO,Completed analysis m: 0 t: 0 e: 42
2421153,INFO,Enabling IridiumMessageSender transmissions
2449676,INFO,Max CNO changed from 53 to 49
2470815,INFO,Starting analysis m: 0 t: 0 e: 43
2471098,WARN,Disabling IridiumMessageSender transmissions
2472355,INFO,Completed analysis m: 0 t: 0 e: 43
2472378,INFO,Enabling IridiumMessageSender transmissions
2522015,INFO,Starting analysis m: 0 t: 0 e: 44
2522298,WARN,Disabling IridiumMessageSender transmissions
2523549,INFO,Completed analysis m: 0 t: 0 e: 44
2523574,INFO,Enabling IridiumMessageSender transmissions
2573234,INFO,Starting analysis m: 0 t: 0 e: 45
2573512,WARN,Disabling IridiumMessageSender transmissions
2574770,INFO,Completed analysis m: 0 t: 0 e: 45
2574798,INFO,Enabling IridiumMessageSender transmissions
2624442,INFO,Starting analysis m: 0 t: 0 e: 46
2624722,WARN,Disabling IridiumMessageSender transmissions
2626017,INFO,Completed analysis m: 0 t: 0 e: 46
2626041,INFO,Enabling IridiumMessageSender transmissions
2675646,INFO,Starting analysis m: 0 t: 0 e: 47
2675927,WARN,Disabling IridiumMessageSender transmissions
2677231,INFO,Completed analysis m: 0 t: 0 e: 47
2677254,INFO,Enabling IridiumMessageSender transmissions
2689720,INFO,Max CNO changed from 49 to 52
2700052,INFO,powerData | solV: 5.76
2700075,INFO,powerData | solI: 0.19
2700093,INFO,powerData | battV: 4.16
2700113,INFO,powerData | battI: 0.17
2700132,INFO,powerData | busV: 4.17
2700152,INFO,powerData | busI: 0.06
2700171,INFO,powerData | BQ status reg: 172
2700191,INFO,powerData | Fault reg: 0
2700210,INFO,powerData | Charge status: 2
2700228,INFO,powerData | DPM status: 1
2726850,INFO,Starting analysis m: 0 t: 0 e: 48
2727131,WARN,Disabling IridiumMessageSender transmissions
2728407,INFO,Completed analysis m: 0 t: 0 e: 48
2728429,INFO,Enabling IridiumMessageSender transmissions
2778058,INFO,Starting analysis m: 0 t: 0 e: 49
2778339,WARN,Disabling IridiumMessageSender transmissions
2779596,INFO,Completed analysis m: 0 t: 0 e: 49
2779621,INFO,Enabling IridiumMessageSender transmissions
2829273,INFO,Starting analysis m: 0 t: 0 e: 50
2829551,WARN,Disabling IridiumMessageSender transmissions
2830807,INFO,Completed analysis m: 0 t: 0 e: 50
2830831,INFO,Enabling IridiumMessageSender transmissions
2880483,INFO,Starting analysis m: 0 t: 0 e: 51
2880761,WARN,Disabling IridiumMessageSender transmissions
2882017,INFO,Completed analysis m: 0 t: 0 e: 51
2882041,INFO,Enabling IridiumMessageSender transmissions
2931685,INFO,Starting analysis m: 0 t: 0 e: 52
2931965,WARN,Disabling IridiumMessageSender transmissions
2933202,INFO,Completed analysis m: 0 t: 0 e: 52
2933229,INFO,Enabling IridiumMessageSender transmissions
2982891,INFO,Starting analysis m: 0 t: 0 e: 53
2983176,WARN,Disabling IridiumMessageSender transmissions
2984480,INFO,Completed analysis m: 0 t: 0 e: 53
2984503,INFO,Enabling IridiumMessageSender transmissions
3000078,INFO,powerData | solV: 5.78
3000098,INFO,powerData | solI: 0.20
3000119,INFO,powerData | battV: 4.16
3000137,INFO,powerData | battI: 0.18
3000158,INFO,powerData | busV: 4.17
3000176,INFO,powerData | busI: 0.06
3000197,INFO,powerData | BQ status reg: 172
3000215,INFO,powerData | Fault reg: 0
3000236,INFO,powerData | Charge status: 2
3000258,INFO,powerData | DPM status: 1
3034097,INFO,Starting analysis m: 0 t: 0 e: 54
3034378,WARN,Disabling IridiumMessageSender transmissions
3035617,INFO,Completed analysis m: 0 t: 0 e: 54
3035643,INFO,Enabling IridiumMessageSender transmissions
3069777,INFO,Max CNO changed from 52 to 49
3085309,INFO,Starting analysis m: 0 t: 0 e: 55
3085590,WARN,Disabling IridiumMessageSender transmissions
3086852,INFO,Completed analysis m: 0 t: 0 e: 55
3086874,INFO,Enabling IridiumMessageSender transmissions
3136528,INFO,Starting analysis m: 0 t: 0 e: 56
3136806,WARN,Disabling IridiumMessageSender transmissions
3138107,INFO,Completed analysis m: 0 t: 0 e: 56
3138129,INFO,Enabling IridiumMessageSender transmissions
3187734,INFO,Starting analysis m: 0 t: 0 e: 57
3188015,WARN,Disabling IridiumMessageSender transmissions
3189342,INFO,Completed analysis m: 0 t: 0 e: 57
3189366,INFO,Enabling IridiumMessageSender transmissions
3238946,INFO,Starting analysis m: 0 t: 0 e: 58
3239225,WARN,Disabling IridiumMessageSender transmissions
3240480,INFO,Completed analysis m: 0 t: 0 e: 58
3240505,INFO,Enabling IridiumMessageSender transmissions
3290146,INFO,Starting analysis m: 0 t: 0 e: 59
3290425,WARN,Disabling IridiumMessageSender transmissions
3291693,INFO,Completed analysis m: 0 t: 0 e: 59
3291715,INFO,Enabling IridiumMessageSender transmissions
3300079,INFO,powerData | solV: 5.83
3300102,INFO,powerData | solI: 0.21
3300122,INFO,powerData | battV: 4.17
3300141,INFO,powerData | battI: 0.20
3300165,INFO,powerData | busV: 4.18
3300184,INFO,powerData | busI: 0.06
